Entry	yourlist:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	Entry name	Gene ontology IDs	Status	Protein names	Gene names	Organism	Length	isomap:M20180311A7434721E10EE6586998A056CCD0537E49A32AY	yourlist:M201803118A530B6CA0138AFAA6D2B97CE8C2A9240BFF3DO	Annotation
A0A0E3EKL7	KF857310	A0A0E3EKL7_SPAAU	GO:0005504	unreviewed	Intestinal-type fatty acid-binding protein	FABP2	Sparus aurata (Gilthead sea bream)	132		KF857310	1 out of 5
R4MXE6	JX678844	R4MXE6_LATCA	GO:0005504	unreviewed	Fatty acid-binding protein 2b		Lates calcarifer (Barramundi) (Holocentrus calcarifer)	132		JX678844	1 out of 5
A8IER2	EU159579	A8IER2_PAROL	GO:0005504	unreviewed	Intestinal fatty acid-binding protein		Paralichthys olivaceus (Bastard halibut) (Hippoglossus olivaceus)	132		EU159579	1 out of 5
B5XC78	BT048647	B5XC78_SALSA	GO:0005504; GO:0005623; GO:0005634; GO:0005737; GO:0031526	unreviewed	Fatty acid-binding protein, intestinal (fatty acid-binding protein, intestinal-like)	FABPI LOC106608508	Salmo salar (Atlantic salmon)	132		BT048647	2 out of 5
A0A1I9WBZ0	KU951130	A0A1I9WBZ0_9GOBI	GO:0005504	unreviewed	Fatty acid-binding protein (Fragment)	IFABP	Acanthogobius hasta (javeline goby)	112		KU951130	1 out of 5
E3TD79	GU588309	E3TD79_ICTFU	GO:0005504	unreviewed	Fatty acid-binding protein intestinal	FABPI	Ictalurus furcatus (Blue catfish) (Pimelodus furcatus)	132		GU588309	1 out of 5
O93268	AF012465	O93268_PSEAM	GO:0004177; GO:0008237; GO:0008270; GO:0016021	unreviewed	Aminopeptidase (EC 3.4.11.-)	ampN	Pseudopleuronectes americanus (Winter flounder) (Pleuronectes americanus)	974		AF012465	2 out of 5
C3VEQ7	FJ860001	C3VEQ7_DICLA	GO:0004177; GO:0008237; GO:0008270	unreviewed	Aminopeptidase N (Fragment)		Dicentrarchus labrax (European seabass) (Morone labrax)	286		FJ860001	1 out of 5
B9WPP4	FM995223	B9WPP4_THUTH	GO:0004177; GO:0008237; GO:0008270	unreviewed	Aminopeptidase N (EC 3.4.11.2) (Fragment)	ampN	Thunnus thynnus (Atlantic bluefin tuna) (Scomber thynnus)	280		FM995223	1 out of 5
J7GYC7	JX128262	J7GYC7_9TELE	GO:0004177; GO:0008237; GO:0008270	unreviewed	Aminopeptidase N (Fragment)		Centropomus undecimalis	179		JX128262	1 out of 5
